,Previous close,Open,Bid,Ask,High,52-week range,Volume,Avg. volume,Market cap,Beta (5Y monthly),Ex-dividend date,1y target est,DateTime
1,22.47,21.80,21.42 x 1400,21.70 x 1400, 22.42,3.92 - 23.70,1812918,2180163,15.469B,2.16,13-Jul-2016,8.20,2021-03-15 09:25:00
2,22.47,21.80,21.42 x 1400,21.70 x 1400, 22.42,3.92 - 23.70,1812918,2180163,15.469B,2.16,13-Jul-2016,8.20,2021-03-15 09:25:05
3,22.47,21.80,21.42 x 1400,21.70 x 1400, 22.42,3.92 - 23.70,1812918,2180163,15.469B,2.16,13-Jul-2016,8.20,2021-03-15 09:25:10
4,22.47,21.80,21.42 x 1400,21.70 x 1400, 22.42,3.92 - 23.70,1812918,2180163,15.469B,2.16,13-Jul-2016,8.20,2021-03-15 09:25:15
5,22.47,21.80,21.42 x 1400,21.70 x 1400, 22.42,3.92 - 23.70,1812918,2180163,15.469B,2.16,13-Jul-2016,8.20,2021-03-15 09:25:20
