,Previous close,Open,Bid,Ask,High,Low,Volume,Avg. volume,Market cap,Beta (5Y monthly),Ex-dividend date,1y target est,DateTime
1,15.90,15.70,15.55 x 0,15.60 x 0, 15.75,15.45 ,66993035,157427035,389.604B,1.24,03-Jun-2019,282.14,2021-03-15 09:31:23
2,15.90,15.70,15.55 x 0,15.60 x 0, 15.75,15.45 ,66998426,157427035,390.856B,1.24,03-Jun-2019,282.14,2021-03-15 09:31:28
3,15.90,15.70,15.55 x 0,15.60 x 0, 15.75,15.45 ,67032917,157427035,390.856B,1.24,03-Jun-2019,282.14,2021-03-15 09:31:33
4,15.90,15.70,15.55 x 0,15.60 x 0, 15.75,15.45 ,67033820,157427035,390.856B,1.24,03-Jun-2019,282.14,2021-03-15 09:31:38
5,15.90,15.70,15.55 x 0,15.60 x 0, 15.75,15.45 ,67035959,157427035,390.856B,1.24,03-Jun-2019,282.14,2021-03-15 09:31:43
